# RTVLAS Proof Log
frame=30 timestamp_ms=6000 verdict=Flag trust=0.971 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=50 timestamp_ms=10000 verdict=Flag trust=0.391 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=51 timestamp_ms=10200 verdict=Flag trust=0.362 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=52 timestamp_ms=10400 verdict=Flag trust=0.333 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=53 timestamp_ms=10600 verdict=Flag trust=0.304 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=54 timestamp_ms=10800 verdict=Flag trust=0.275 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=55 timestamp_ms=11000 verdict=Flag trust=0.246 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=56 timestamp_ms=11200 verdict=Flag trust=0.217 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=57 timestamp_ms=11400 verdict=Flag trust=0.188 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=58 timestamp_ms=11600 verdict=Flag trust=0.159 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
frame=59 timestamp_ms=11800 verdict=Flag trust=0.130 causes=[Formation Geometry Error=Flag, Formation Intent Coherence=Flag, Terminal Separation Margin=Flag, Contested-PNT Timing Coherence=Flag]
